user_name,name,age,gender,hair_type,email,street,city,state,zip,credit_type,name_on_card,credit_card_number,credit_exp_date,credit_security_code,customer_tier
dhin385,Donald Hines,69,male,straight,nross@fisher-burke.com,16644 Griffin Harbors Suite 893,West Gavinmouth,Maryland,80428,JCB 16 digit,Donald Hines,4.61E+15,24-Apr,921,n/a
wbry235,Wayne Bryant,18,female,n/a,bowendaniel@hotmail.com,791 Daniel Drive,South Curtis,Delaware,2008,JCB 16 digit,Wayne Bryant,6.01E+15,25-Aug,732,n/a
dher457,David Hernandez,48,male,n/a,gardnerdiane@carr-taylor.info,8530 Nicholson Inlet,Jesusfort,North Dakota,29434,VISA 16 digit,David Hernandez,4.66E+18,28-Jan,536,n/a
ayou83,Andrea Young,64,male,straight,nunezkevin@strickland-benjamin.com,686 Clark Ferry,South Aaronshire,Massachusetts,29703,JCB 15 digit,Andrea Young,3.54E+15,25-Jan,198,n/a
tmcl168,Tony Mclaughlin,67,female,wavy,zcampbell@hunter.com,36639 Bailey Trail,Alejandraberg,Kansas,91535,Mastercard,Tony Mclaughlin,6.52E+15,25-Feb,458,n/a
mble324,Mark Blevins,40,male,curly,natasha90@yahoo.com,8531 Knight Haven,South Sharon,Michigan,59464,JCB 15 digit,Mark Blevins,3.52E+15,21-Jun,839,n/a
jwri137,Justin Wright,68,male,straight,shelby42@gmail.com,271 Robinson Forest,Matthewborough,Georgia,45589,Discover,Justin Wright,3.04E+13,27-May,447,n/a
ibis318,Isaac Bishop,38,male,straight,carmenhill@savage-berg.com,379 Timothy Estates,Johnton,Illinois,73102,JCB 16 digit,Isaac Bishop,3.50E+15,28-Jul,278,n/a
jday226,Jamie Day,48,female,n/a,cheyenne05@yahoo.com,3058 Reynolds Way Suite 676,North Philip,Iowa,45019,JCB 16 digit,Jamie Day,6.39E+11,28-Apr,925,n/a
slin165,Sierra Lindsey,55,male,wavy,todd54@richardson.net,751 Peterson Groves Suite 868,Oneillmouth,Alabama,60049,American Express,Sierra Lindsey,4.34E+12,26-Mar,538,n/a
adua435,Amber Duarte,57,male,n/a,umason@hall-dougherty.info,520 Rivera Mount Apt. 016,Williamborough,Illinois,56498,VISA 16 digit,Amber Duarte,3.41E+14,24-Oct,539,n/a
msto195,Maria Stone,26,female,straight,mholmes@yahoo.com,0054 Deborah Valley,Paulfort,Massachusetts,69309,Mastercard,Maria Stone,4.69E+12,23-Oct,235,n/a
